marka,title,year,type_car,ob,type_topliva,kpp,price,city,date,views,picture,link
Mercedes-Benz,Mercedes-Benz E 280,1993 г., Б/у седан, 2.8 л, бензин, КПП автомат,1800000,Караганда,3 августа,0,https://photos-kl.kcdn.kz/webp/65/6541a513-7bd9-402a-bf26-99cb4fc13255/2-160x120.jpg,https://kolesa.kz/a/show/157012934
Zeekr,Zeekr 001,2023 г., новый лифтбек, электричество, КПП автомат, белый,27150000,Алматы,3 августа,0,https://photos-kl.kcdn.kz/webp/9c/9cb5921b-1a38-4871-8af5-996205ac75c5/58-160x120.jpg,https://kolesa.kz/a/show/154667780
Hyundai,Hyundai Accent,2021 г., Б/у седан, 1.6 л, бензин, КПП автомат,9450000,Алматы,3 августа,0,https://photos-kl.kcdn.kz/webp/64/64791eba-dc6e-45b4-8c51-99c09387ac49/11-160x120.jpg,https://kolesa.kz/a/show/156762486
Toyota,Toyota Corolla,2020 г., Б/у седан, 1.6 л, бензин, КПП механика,10400000,Усть-Каменогорск,3 августа,0,https://photos-kl.kcdn.kz/webp/04/048049b7-6e5a-4ddb-b649-99cb44bc367f/1-160x120.jpg,https://kolesa.kz/a/show/157011541
EXEED,EXEED LX,2022 г., Б/у кроссовер, 1.5 л, бензин, КПП вариатор,14500000,Алматы,3 августа,0,https://photos-kl.kcdn.kz/webp/51/51ce2459-a809-44dc-828f-99c9ba920af8/1-160x120.jpg,https://kolesa.kz/a/show/156976891
Hyundai,Hyundai Accent,2022 г., Б/у седан, 1.6 л, бензин, КПП автомат,10200000,Семей,3 августа,0,https://photos-kl.kcdn.kz/webp/60/60640458-9222-4a62-a7e3-99c535de9e99/5-160x120.jpg,https://kolesa.kz/a/show/156865482
Daewoo,Daewoo Nexia,1996 г., Б/у седан, 1.6 л, бензин, КПП автомат,1200000,Астана,3 августа,0,https://photos-kl.kcdn.kz/webp/ba/ba5eeeeb-7e39-4fcd-bb0b-99cb35bdaeb9/2-160x120.jpg,https://kolesa.kz/a/show/157009721
Toyota,Toyota Camry,1996 г., Б/у седан, 2.2 л, бензин, КПП механика,3700000,Талдыкорган,3 августа,0,https://photos-kl.kcdn.kz/webp/0f/0fec8d3f-b08a-4d07-893b-99cb300f7bb9/2-160x120.jpg,https://kolesa.kz/a/show/157009044
ВАЗ,ВАЗ (Lada) Granta 2190 (седан),2014 г., Б/у седан, 1.6 л, бензин, КПП автомат,3300000,Актау,3 августа,0,https://photos-kl.kcdn.kz/webp/1a/1a6381c6-b974-4b51-b769-99cb31b0d9d0/2-160x120.jpg,https://kolesa.kz/a/show/157009244
Lexus,Lexus ES 300,2002 г., Б/у седан, 3 л, бензин, КПП автомат,6500000,Тараз,3 августа,0,https://photos-kl.kcdn.kz/webp/d3/d3447fab-2a07-4384-a8d2-99cb3016bcc0/2-160x120.jpg,https://kolesa.kz/a/show/157009048
ГАЗ,ГАЗ ГАЗель,2006 г., Б/у пикап, 2.9 л, газ-бензин, КПП механика,4300000,Павлодар,3 августа,0,https://photos-kl.kcdn.kz/webp/2c/2c6d02ca-62f8-4904-b9d3-9937c8e98ec0/2-160x120.jpg,https://kolesa.kz/a/show/153640005
Scion,Scion XD,2008 г., Б/у хэтчбек, 1.8 л, бензин, КПП автомат,5300000,Кызылорда,3 августа,0,https://photos-kl.kcdn.kz/webp/5f/5fb81065-85c4-43e9-9296-99cb0912b43a/1-160x120.jpg,https://kolesa.kz/a/show/157004109
Toyota,Toyota Camry,2019 г., Б/у седан, 2.5 л, бензин, КПП автомат,18300000,Алматы,3 августа,0,https://photos-kl.kcdn.kz/webp/1c/1c740379-dda4-4d5e-b1fd-99c3029d83ba/4-160x120.jpg,https://kolesa.kz/a/show/156819018
Toyota,Toyota Land Cruiser Prado,2009 г., Б/у внедорожник, 4 л, бензин, КПП автомат,22000000,Атырау,3 августа,0,https://photos-kl.kcdn.kz/webp/82/82ff56ad-bcf4-4145-bc44-99ca9f9cda87/2-160x120.jpg,https://kolesa.kz/a/show/156988130
Hyundai,Hyundai Sonata,2019 г., Б/у седан, 2.4 л, бензин, КПП автомат,10500000,Актау,3 августа,0,https://photos-kl.kcdn.kz/webp/4b/4b5a5520-8da9-4fd0-bcdc-f925347ba831/1-160x120.jpg,https://kolesa.kz/a/show/120121265
Tesla,Tesla Model Y,2023 г., новый кроссовер, электричество, КПП автомат, 20 км,24000000,Астана,3 августа,0,https://photos-kl.kcdn.kz/webp/b8/b80e3a3e-5a93-4235-a1ee-99ca8cdb51c5/2-160x120.jpg,https://kolesa.kz/a/show/156985382
Hyundai,Hyundai Elantra,2019 г., Б/у седан, 2 л, бензин, КПП автомат,9400000,Тараз,3 августа,0,https://photos-kl.kcdn.kz/webp/e5/e506e6b8-06ae-44d4-b1c0-99cca3e5ea14/2-160x120.jpg,https://kolesa.kz/a/show/157035757
Volkswagen,Volkswagen Golf,1992 г., Б/у хэтчбек, 1.8 л, бензин, КПП механика,900000,Усть-Каменогорск,3 августа,0,https://photos-kl.kcdn.kz/webp/fd/fdb935d8-d4ea-48ce-b5de-99c974e78d56/13-160x120.jpg,https://kolesa.kz/a/show/156970254
JAC,JAC S3,2021 г., Б/у кроссовер, 1.6 л, бензин, КПП вариатор,8000000,Алматы,3 августа,0,https://photos-kl.kcdn.kz/webp/71/7164986d-43ca-4f87-a31a-99c973470b76/4-160x120.jpg,https://kolesa.kz/a/show/156970031
Toyota,Toyota RAV 4,2013 г., Б/у кроссовер, 2.5 л, бензин, КПП автомат,12000000,Астана,3 августа,0,https://photos-kl.kcdn.kz/webp/0b/0b2188b7-0bec-4be5-ab14-99c907f7a864/19-160x120.jpg,https://kolesa.kz/a/show/156956113
Toyota,Toyota Land Cruiser,2019 г., Б/у внедорожник, 4.6 л, бензин, КПП автомат,42000000,Алматы,3 августа,0,https://photos-kl.kcdn.kz/webp/0a/0a6c48fe-2609-4443-a3f3-99c94826afd0/8-160x120.jpg,https://kolesa.kz/a/show/156964297
Hyundai,Hyundai Tucson,2019 г., Б/у кроссовер, 2 л, бензин, КПП автомат,13800000,Алматы,3 августа,0,https://photos-kl.kcdn.kz/webp/6d/6d584b80-9d54-4aa4-8446-99c4b12221ee/4-160x120.jpg,https://kolesa.kz/a/show/156848754
Hyundai,Hyundai Santa Fe,2011 г., Б/у кроссовер, 2.7 л, газ, КПП автомат,8500000,Актау,3 августа,0,https://photos-kl.kcdn.kz/webp/40/40ca6b07-fe92-4ef1-8c69-99c91c9469e2/1-160x120.jpg,https://kolesa.kz/a/show/156958919
Hyundai,Hyundai Tucson,2014 г., Б/у кроссовер, 2 л, бензин, КПП автомат,8200000,Степняк,3 августа,0,https://photos-kl.kcdn.kz/webp/65/6542ddc9-f150-48c1-9a0a-96a4a893d53d/4-160x120.jpg,https://kolesa.kz/a/show/138711171
Toyota,Toyota Camry,2004 г., Б/у седан, 3 л, бензин, КПП автомат,7300000,Алматы,3 августа,0,https://photos-kl.kcdn.kz/webp/97/9715ebae-2feb-4258-8dfe-99c459b21be6/2-160x120.jpg,https://kolesa.kz/a/show/156839510
Toyota,Toyota Alphard,2006 г., Б/у минивэн, 3 л, бензин, Правый руль,8600000,Алматы,3 августа,0,https://photos-kl.kcdn.kz/webp/b6/b6650e3d-4ff4-40ec-9f4c-99c75dceff53/2-160x120.jpg,https://kolesa.kz/a/show/156919045
Mazda,Mazda 5,2006 г., Б/у минивэн, 2.3 л, бензин, КПП автомат,4950000,Алматы,3 августа,0,https://photos-kl.kcdn.kz/webp/15/15faf1db-f837-4d7e-bd09-99c89c2cd2b4/1-160x120.jpg,https://kolesa.kz/a/show/156940042
Daewoo,Daewoo Nexia,2012 г., Б/у седан, 1.5 л, бензин, КПП механика,2200000,Алматы,3 августа,0,https://photos-kl.kcdn.kz/webp/f2/f27bf6d4-86a3-4fb1-9bac-99c6898e7761/2-160x120.jpg,https://kolesa.kz/a/show/156887923
Hyundai,Hyundai Avante,2023 г., новый седан, 1.6 л, бензин, КПП автомат,16000000,Алматы,3 августа,0,https://photos-kl.kcdn.kz/webp/11/11a13b8c-9b4e-4b38-b5dc-9940089454d9/46-160x120.jpg,https://kolesa.kz/a/show/153870508
Chevrolet,Chevrolet Damas,2020 г., Б/у микровэн, 0.8 л, бензин, КПП механика,4490000,Астана,3 августа,0,https://photos-kl.kcdn.kz/webp/0c/0c5e2ba7-c9cb-4d8d-895f-97b20fa6a66b/1-160x120.jpg,https://kolesa.kz/a/show/144674762
Suzuki,Suzuki Grand Vitara,1999 г., Б/у внедорожник, 2.5 л, бензин, КПП автомат,4400000,Алматы,3 августа,0,https://photos-kl.kcdn.kz/webp/30/30980431-5eee-432a-89a1-99c89ae23b49/1-160x120.jpg,https://kolesa.kz/a/show/156939849
SsangYong,SsangYong Kyron,2013 г., Б/у внедорожник, 2.3 л, бензин, КПП механика,4700000,Алматы,3 августа,0,https://photos-kl.kcdn.kz/webp/00/00113bd0-d77e-4320-88d6-99bca0ee5817/2-160x120.jpg,https://kolesa.kz/a/show/156673040
Mercedes-Benz,Mercedes-Benz G 63 AMG,2013 г., Б/у внедорожник, 5.5 л, бензин, КПП автомат,42500000,Алматы,3 августа,0,https://photos-kl.kcdn.kz/webp/e7/e7807435-4a1a-42fd-b668-998ca0b3afea/12-160x120.jpg,https://kolesa.kz/a/show/155634413
Subaru,Subaru Outback,2000 г., Б/у седан, 2.5 л, бензин, КПП автомат,4500000,Алматы,3 августа,0,https://photos-kl.kcdn.kz/webp/9a/9a9eb24f-414b-4f9a-bb4c-999cd45249eb/5-160x120.jpg,https://kolesa.kz/a/show/155982033
Toyota,Toyota Land Cruiser Prado,2003 г., Б/у внедорожник, 4 л, бензин, КПП автомат,13000000,Алматы,3 августа,0,https://photos-kl.kcdn.kz/webp/a5/a5da5c63-17bb-4ad7-93e7-997ad3b691d5/3-160x120.jpg,https://kolesa.kz/a/show/155250457
Porsche,Porsche Taycan,2022 г., Б/у универсал, электричество, КПП автомат, с пробегом 1 600 км,75000000,Алматы,3 августа,0,https://photos-kl.kcdn.kz/webp/b1/b19de1f8-8577-4c15-81c5-99c479444e33/4-160x120.jpg,https://kolesa.kz/a/show/156841763
Chevrolet,Chevrolet Nexia,2021 г., Б/у седан, 1.5 л, бензин, КПП автомат,5500000,Жезказган,3 августа,0,https://photos-kl.kcdn.kz/webp/87/87d7aca9-9cff-47f7-8e02-9947e5d7d0d5/1-160x120.jpg,https://kolesa.kz/a/show/154049193
Honda,Honda Odyssey,2005 г., Б/у минивэн, 3.5 л, бензин, КПП автомат,7000000,Алматы,3 августа,0,https://photos-kl.kcdn.kz/webp/99/994ae622-ca2b-41ba-a023-99c5f4b90cd4/12-160x120.jpg,https://kolesa.kz/a/show/156880658
ВАЗ,ВАЗ (Lada) Priora 2170 (седан),2012 г., Б/у седан, 1.6 л, бензин, КПП механика,2100000,Уральск,3 августа,0,https://photos-kl.kcdn.kz/webp/3a/3aa00ce2-e561-4d31-baec-99584180d153/1-160x120.jpg,https://kolesa.kz/a/show/154448015
Mercedes-Benz,Mercedes-Benz S 320,1996 г., Б/у седан, 3.2 л, бензин, КПП автомат,4000000,Алматы,3 августа,0,https://photos-kl.kcdn.kz/webp/91/91a45b4b-fe13-4c20-8e8f-99c33ecf216e/4-160x120.jpg,https://kolesa.kz/a/show/156825815
Land,Land Rover Discovery,2020 г., Б/у внедорожник, 3 л, дизель, КПП автомат,37000000,Алматы,3 августа,0,https://photos-kl.kcdn.kz/webp/06/06403443-4147-4552-b900-996d6bb43121/10-160x120.jpg,https://kolesa.kz/a/show/154942050
Lexus,Lexus RX 330,2005 г., Б/у кроссовер, 3.3 л, бензин, КПП автомат,9000000,Алматы,3 августа,0,https://photos-kl.kcdn.kz/webp/ae/aee4c5b0-d000-4f38-a56a-9983447d66ec/2-160x120.jpg,https://kolesa.kz/a/show/155441230
Kia,Kia Rio,2014 г., Б/у седан, 1.6 л, бензин, КПП механика,4500000,Атырау,3 августа,0,//kolesa.kz/static/frontend/images/stubs/noPhoto_160x120.svg,https://kolesa.kz/a/show/156898995
Lexus,Lexus GS 300,2001 г., Б/у седан, 3 л, бензин, КПП автомат,5200000,Астана,3 августа,0,https://photos-kl.kcdn.kz/webp/08/085590c5-6645-43ba-a865-99893ecda549/14-160x120.jpg,https://kolesa.kz/a/show/155570632
Honda,Honda CR-V,2004 г., Б/у кроссовер, 2.4 л, бензин, КПП автомат,5800000,Кызылорда,3 августа,0,https://photos-kl.kcdn.kz/webp/19/19466721-dfbe-4dab-85f5-98f7f8862412/2-160x120.jpg,https://kolesa.kz/a/show/152084189
Honda,Honda Odyssey,1997 г., Б/у минивэн, 2.2 л, бензин, Правый руль,3500000,Караганда,3 августа,0,https://photos-kl.kcdn.kz/webp/3c/3c593644-558f-473f-8fac-99bf93c1c59c/2-160x120.jpg,https://kolesa.kz/a/show/156749547
Toyota,Toyota Camry,2016 г., Б/у седан, 2.5 л, бензин, КПП автомат,12000000,Актобе,3 августа,0,https://photos-kl.kcdn.kz/webp/51/5112759c-d72d-4cbc-942d-98e5f8383a3f/1-160x120.jpg,https://kolesa.kz/a/show/151602016
Mazda,Mazda CX-5,2013 г., Б/у кроссовер, 2 л, бензин, КПП автомат,9000000,Шемонаиха,3 августа,0,https://photos-kl.kcdn.kz/webp/3b/3be4ad50-4528-4fca-8a0e-99c5c3aa074f/2-160x120.jpg,https://kolesa.kz/a/show/156879444
Mercedes-Benz,Mercedes-Benz E 280,1994 г., Б/у седан, 2.8 л, бензин, Правый руль,2650000,Туркестан,3 августа,0,https://photos-kl.kcdn.kz/webp/79/79c8d0cc-b66f-4b96-a7ec-99c0ba32ea8d/14-160x120.jpg,https://kolesa.kz/a/show/156768534
Kia,Kia K5,2022 г., Б/у седан, 2 л, бензин, КПП автомат,15500000,Алматы,3 августа,0,https://photos-kl.kcdn.kz/webp/17/17cce28d-eedf-4d5b-b2d4-98a914d84ca9/1-160x120.jpg,https://kolesa.kz/a/show/149980197
Hyundai,Hyundai Sonata,2022 г., Б/у седан, 2.5 л, бензин, КПП автомат,14100000,Алматы,3 августа,0,https://photos-kl.kcdn.kz/webp/8b/8b1f6a05-5b64-4a39-8afc-99c56b893f77/3-160x120.jpg,https://kolesa.kz/a/show/156872001
Subaru,Subaru Outback,2022 г., Б/у универсал, 2.5 л, бензин, КПП вариатор,20500000,Астана,3 августа,0,https://photos-kl.kcdn.kz/webp/7e/7e8c7ca8-c342-4209-bb84-997a977fe218/4-160x120.jpg,https://kolesa.kz/a/show/155243670
Toyota,Toyota Sienna,2015 г., Б/у минивэн, 3.5 л, бензин, КПП автомат,13500000,Жанаозен,3 августа,0,https://photos-kl.kcdn.kz/webp/b5/b5298d90-292e-4818-a5ef-99a947120be1/2-160x120.jpg,https://kolesa.kz/a/show/156249110
Hyundai,Hyundai Palisade,2020 г., Б/у кроссовер, 3.8 л, бензин, КПП автомат,22000000,Аксай,3 августа,0,https://photos-kl.kcdn.kz/webp/9a/9a02b80a-affa-4cf9-9ca0-98ef505670d0/2-160x120.jpg,https://kolesa.kz/a/show/151850385
Hyundai,Hyundai i30,2022 г., Б/у универсал, 1.6 л, бензин, КПП автомат,10500000,Караганда,3 августа,0,https://photos-kl.kcdn.kz/webp/1a/1a8ee5d7-9505-4f88-8eb9-98221de05c47/4-160x120.jpg,https://kolesa.kz/a/show/146957430
Hyundai,Hyundai Sonata,2017 г., Б/у седан, 2.4 л, бензин, КПП автомат,10100000,Астана,3 августа,0,https://photos-kl.kcdn.kz/webp/98/984d99cf-6f25-43cf-b51b-999049825235/16-160x120.jpg,https://kolesa.kz/a/show/155712928
Infiniti,Infiniti FX35,2007 г., Б/у кроссовер, 3.5 л, бензин, КПП автомат,8500000,Астана,3 августа,0,https://photos-kl.kcdn.kz/webp/2c/2c62bd95-ca63-4092-a794-99bdcf4e66b2/2-160x120.jpg,https://kolesa.kz/a/show/156706081
Hyundai,Hyundai Palisade,2021 г., Б/у кроссовер, 3.8 л, бензин, КПП автомат,27300000,Алматы,3 августа,0,https://photos-kl.kcdn.kz/webp/d4/d43db761-10b8-48c4-9729-9951aa32f6bc/4-160x120.jpg,https://kolesa.kz/a/show/154292083
Kia,Kia Sorento,2021 г., Б/у кроссовер, 2.5 л, бензин, КПП автомат,22950000,Астана,3 августа,0,https://photos-kl.kcdn.kz/webp/51/51d78c85-a296-49f5-9331-991c38ce9393/29-160x120.jpg,https://kolesa.kz/a/show/152989419
Mercedes-Benz,Mercedes-Benz CLA 200,2020 г., Б/у седан, 1.3 л, бензин, КПП робот,22500000,Алматы,3 августа,0,https://photos-kl.kcdn.kz/webp/fd/fda16206-b12a-42a3-9a0f-97c1a80930d1/5-160x120.jpg,https://kolesa.kz/a/show/145023034
Toyota,Toyota Hilux Surf,1992 г., Б/у внедорожник, 2.4 л, дизель, Правый руль,2000000,Алматы,3 августа,0,https://photos-kl.kcdn.kz/webp/6d/6db5ff79-4759-4961-a3f7-99bcbe8b70f9/3-160x120.jpg,https://kolesa.kz/a/show/156677223
Hyundai,Hyundai Tucson,2018 г., Б/у кроссовер, 2 л, бензин, КПП автомат,12400000,Астана,3 августа,0,https://photos-kl.kcdn.kz/webp/be/be97aeb0-264a-4eed-8fff-99c31bc9faa7/1-160x120.jpg,https://kolesa.kz/a/show/156821885
Lexus,Lexus LX 470,2007 г., Б/у внедорожник, 4.7 л, бензин, КПП автомат,15500000,Шымкент,3 августа,0,https://photos-kl.kcdn.kz/webp/4f/4f1aa72c-1bdb-4328-b428-99c2d41bc45c/2-160x120.jpg,https://kolesa.kz/a/show/156813631
Toyota,Toyota Corolla,2009 г., Б/у седан, 1.8 л, бензин, КПП автомат,4500000,Атырау,3 августа,0,https://photos-kl.kcdn.kz/webp/ab/abc18525-5d62-427e-acf6-970f6e20bbae/2-160x120.jpg,https://kolesa.kz/a/show/141043607
Hyundai,Hyundai Creta,2022 г., Б/у кроссовер, 1.6 л, бензин, КПП автомат,12500000,Костанай,3 августа,0,https://photos-kl.kcdn.kz/webp/df/dfaa6a2d-44b0-494d-84da-9988c628bd15/1-160x120.jpg,https://kolesa.kz/a/show/155557525
Volkswagen,Volkswagen Touran,2011 г., Б/у минивэн, 1.4 л, бензин, КПП робот,3500000,Уральск,3 августа,0,https://photos-kl.kcdn.kz/webp/58/5846b03b-f9eb-48b4-b53f-99bb0531624d/3-160x120.jpg,https://kolesa.kz/a/show/156639781
Hyundai,Hyundai Elantra,2016 г., Б/у седан, 2 л, бензин, КПП автомат,8500000,Алматы,3 августа,0,https://photos-kl.kcdn.kz/webp/5f/5fb50857-26fe-4a36-849f-99befcc897a7/2-160x120.jpg,https://kolesa.kz/a/show/156731863
Kia,Kia Sorento,2013 г., Б/у кроссовер, 3.5 л, бензин, КПП автомат,9200000,Уральск,3 августа,0,https://photos-kl.kcdn.kz/webp/b3/b3c94ccb-37b8-409b-884f-99a6ea814b7a/1-160x120.jpg,https://kolesa.kz/a/show/156201105
Toyota,Toyota Highlander,2022 г., Б/у кроссовер, 3.5 л, бензин, КПП автомат,28500000,Алматы,3 августа,0,https://photos-kl.kcdn.kz/webp/f2/f233e5dd-ac3b-445b-9598-993fcb6fdb3f/2-160x120.jpg,https://kolesa.kz/a/show/153858431
Great Wall,Great Wall Wingle 3,2007 г., Б/у пикап, 2.2 л, бензин, КПП механика,2400000,Рудный,3 августа,0,https://photos-kl.kcdn.kz/webp/74/74d6f100-d1c2-412a-ab53-994c5ef2e89e/1-160x120.jpg,https://kolesa.kz/a/show/154173565
Volkswagen,Volkswagen Tiguan,2017 г., Б/у кроссовер, 2 л, бензин, КПП робот,14250000,Алматы,3 августа,0,https://photos-kl.kcdn.kz/webp/d6/d6bd2527-1b7a-4dab-b111-9974e8271e05/2-160x120.jpg,https://kolesa.kz/a/show/155116574
Volkswagen,Volkswagen ID.4,2022 г., новый кроссовер, электричество, КПП автомат, серый,15000000,Алматы,3 августа,0,https://photos-kl.kcdn.kz/webp/4d/4d160606-901d-4c4e-8535-9903e27c82cc/28-160x120.jpg,https://kolesa.kz/a/show/152394671
Kia,Kia K5,2021 г., Б/у седан, 2 л, бензин, КПП автомат,14300000,Алматы,3 августа,0,https://photos-kl.kcdn.kz/webp/dc/dc7dfd8e-f329-4981-8194-99c07b12941c/1-160x120.jpg,https://kolesa.kz/a/show/156758920
ВАЗ,ВАЗ (Lada) Vesta,2018 г., Б/у седан, 1.8 л, бензин, КПП механика,5200000,Уральск,3 августа,0,https://photos-kl.kcdn.kz/webp/f6/f6049078-32f0-4fdf-8995-99aeff7db6f8/1-160x120.jpg,https://kolesa.kz/a/show/156378075
Mitsubishi,Mitsubishi Pajero,1996 г., Б/у внедорожник, 2.8 л, дизель, Правый руль,2500000,Алматы,3 августа,0,https://photos-kl.kcdn.kz/webp/d9/d94bdda3-56d0-4e57-a406-971677a5480f/2-160x120.jpg,https://kolesa.kz/a/show/141184852
Hyundai,Hyundai Sonata,2009 г., Б/у седан, 2.4 л, бензин, КПП механика,4400000,Степногорск,3 августа,0,https://photos-kl.kcdn.kz/webp/98/98fbe8ee-7ee0-43c5-810f-99c05dc6e492/1-160x120.jpg,https://kolesa.kz/a/show/156755623
Toyota,Toyota Sprinter Marino,1997 г., Б/у седан, 1.6 л, бензин, Правый руль,2500000,Караганда,3 августа,0,https://photos-kl.kcdn.kz/webp/a1/a162b4aa-ba72-4686-86c9-99c00a86b423/2-160x120.jpg,https://kolesa.kz/a/show/156753067
Mitsubishi,Mitsubishi ASX,2014 г., Б/у кроссовер, 1.8 л, бензин, КПП вариатор,5650000,Астана,3 августа,0,https://photos-kl.kcdn.kz/webp/2e/2e0c8503-8412-4b2a-a21c-9997de0465a7/1-160x120.jpg,https://kolesa.kz/a/show/155874170
Mercedes-Benz,Mercedes-Benz SLK 200,2004 г., Б/у родстер, 1.8 л, бензин, КПП автомат,7000000,Астана,3 августа,0,https://photos-kl.kcdn.kz/webp/08/08aa7b9c-0170-45b3-8421-98de533a7294/30-160x120.jpg,https://kolesa.kz/a/show/151395746
ВАЗ,ВАЗ (Lada) Priora 2170 (седан),2014 г., Б/у седан, 1.6 л, бензин, КПП механика,3450000,Астана,3 августа,0,https://photos-kl.kcdn.kz/webp/03/03b06a46-6ecc-4d16-9d09-99be7e609ee7/1-160x120.jpg,https://kolesa.kz/a/show/156713895
